Cyprus,CYP,Research and development expenditure (% of GDP),0.68145
Czechia,CZE,Research and development expenditure (% of GDP),1.83369
Germany,DEU,Research and development expenditure (% of GDP),3.1539
Djibouti,DJI,Research and development expenditure (% of GDP),
Dominica,DMA,Research and development expenditure (% of GDP),
Denmark,DNK,Research and development expenditure (% of GDP),3.04841
Dominican Republic,DOM,Research and development expenditure (% of GDP),
Algeria,DZA,Research and development expenditure (% of GDP),0.44395
East Asia & Pacific (excluding high income),EAP,Research and development expenditure (% of GDP),2.47590303547195
Early-demographic dividend,EAR,Research and development expenditure (% of GDP),0.800602425905232
East Asia & Pacific,EAS,Research and development expenditure (% of GDP),2.77406822897594
Europe & Central Asia (excluding high income),ECA,Research and development expenditure (% of GDP),0.90394553471454
Europe & Central Asia,ECS,Research and development expenditure (% of GDP),2.13845186931503
Ecuador,ECU,Research and development expenditure (% of GDP),0.43839
"Egypt, Arab Rep.",EGY,Research and development expenditure (% of GDP),1.01757
Euro area,EMU,Research and development expenditure (% of GDP),2.29924641772542
Eritrea,ERI,Research and development expenditure (% of GDP),
Spain,ESP,Research and development expenditure (% of GDP),1.49362
Estonia,EST,Research and development expenditure (% of GDP),1.83878
Ethiopia,ETH,Research and development expenditure (% of GDP),0.27437
European Union,EUU,Research and development expenditure (% of GDP),2.26283132761121
Fragile and conflict affected situations,FCS,Research and development expenditure (% of GDP),0.270348755447398
Finland,FIN,Research and development expenditure (% of GDP),3.0938
Fiji,FJI,Research and development expenditure (% of GDP),
France,FRA,Research and development expenditure (% of GDP),2.17832
Faroe Islands,FRO,Research and development expenditure (% of GDP),0.85253
"Micronesia, Fed. Sts.",FSM,Research and development expenditure (% of GDP),
Gabon,GAB,Research and development expenditure (% of GDP),0.57924
United Kingdom,GBR,Research and development expenditure (% of GDP),2.67614
Georgia,GEO,Research and development expenditure (% of GDP),0.26435
Ghana,GHA,Research and development expenditure (% of GDP),0.37655
Gibraltar,GIB,Research and development expenditure (% of GDP),
Guinea,GIN,Research and development expenditure (% of GDP),
"Gambia, The",GMB,Research and development expenditure (% of GDP),0.06933
Guinea-Bissau,GNB,Research and development expenditure (% of GDP),
Equatorial Guinea,GNQ,Research and development expenditure (% of GDP),
Greece,GRC,Research and development expenditure (% of GDP),1.4943
Grenada,GRD,Research and development expenditure (% of GDP),
Greenland,GRL,Research and development expenditure (% of GDP),0.64608
Guatemala,GTM,Research and development expenditure (% of GDP),0.00609
Guam,GUM,Research and development expenditure (% of GDP),0.2561
Guyana,GUY,Research and development expenditure (% of GDP),
High income,HIC,Research and development expenditure (% of GDP),2.8690798480384
"Hong Kong SAR, China",HKG,Research and development expenditure (% of GDP),1.12597
Honduras,HND,Research and development expenditure (% of GDP),0.05997
Heavily indebted poor countries (HIPC),HPC,Research and development expenditure (% of GDP),
Croatia,HRV,Research and development expenditure (% of GDP),1.38621
Haiti,HTI,Research and development expenditure (% of GDP),
Hungary,HUN,Research and development expenditure (% of GDP),1.37748
IBRD only,IBD,Research and development expenditure (% of GDP),1.87406846206261
IDA & IBRD total,IBT,Research and development expenditure (% of GDP),1.83590612524276
IDA total,IDA,Research and development expenditure (% of GDP),
IDA blend,IDB,Research and development expenditure (% of GDP),0.239452283528228
Indonesia,IDN,Research and development expenditure (% of GDP),0.28068
IDA only,IDX,Research and development expenditure (% of GDP),
Isle of Man,IMN,Research and development expenditure (% of GDP),
India,IND,Research and development expenditure (% of GDP),0.64558
Not classified,INX,Research and development expenditure (% of GDP),
Ireland,IRL,Research and development expenditure (% of GDP),1.58829
"Iran, Islamic Rep.",IRN,Research and development expenditure (% of GDP),0.72665
Iraq,IRQ,Research and development expenditure (% of GDP),0.0407
Iceland,ISL,Research and development expenditure (% of GDP),2.64005
Israel,ISR,Research and development expenditure (% of GDP),6.34589
Italy,ITA,Research and development expenditure (% of GDP),1.37935
Jamaica,JAM,Research and development expenditure (% of GDP),0.06096
Jordan,JOR,Research and development expenditure (% of GDP),0.69547
Japan,JPN,Research and development expenditure (% of GDP),3.44125
Kazakhstan,KAZ,Research and development expenditure (% of GDP),0.16242
Kenya,KEN,Research and development expenditure (% of GDP),0.81069
Kyrgyz Republic,KGZ,Research and development expenditure (% of GDP),0.05269
Cambodia,KHM,Research and development expenditure (% of GDP),0.08828
Kiribati,KIR,Research and development expenditure (% of GDP),
St. Kitts and Nevis,KNA,Research and development expenditure (% of GDP),
"Korea, Rep.",KOR,Research and development expenditure (% of GDP),4.94352
Kuwait,KWT,Research and development expenditure (% of GDP),0.08954
Latin America & Caribbean (excluding high income),LAC,Research and development expenditure (% of GDP),0.696712396676236
Lao PDR,LAO,Research and development expenditure (% of GDP),0.0371
Lebanon,LBN,Research and development expenditure (% of GDP),
Liberia,LBR,Research and development expenditure (% of GDP),
Libya,LBY,Research and development expenditure (% of GDP),
St. Lucia,LCA,Research and development expenditure (% of GDP),0.27374
Latin America & Caribbean,LCN,Research and development expenditure (% of GDP),0.682501882174588
Least developed countries: UN classification,LDC,Research and development expenditure (% of GDP),
Low income,LIC,Research and development expenditure (% of GDP),
Liechtenstein,LIE,Research and development expenditure (% of GDP),6.00984
Sri Lanka,LKA,Research and development expenditure (% of GDP),0.10506
Lower middle income,LMC,Research and development expenditure (% of GDP),0.517959764163889
Low & middle income,LMY,Research and development expenditure (% of GDP),1.94633533666676
Lesotho,LSO,Research and development expenditure (% of GDP),0.09453
Late-demographic dividend,LTE,Research and development expenditure (% of GDP),2.08942406944005
Lithuania,LTU,Research and development expenditure (% of GDP),1.04977
Luxembourg,LUX,Research and development expenditure (% of GDP),1.07045
Latvia,LVA,Research and development expenditure (% of GDP),0.8236
"Macao SAR, China",MAC,Research and development expenditure (% of GDP),0.31097
St. Martin (French part),MAF,Research and development expenditure (% of GDP),
Morocco,MAR,Research and development expenditure (% of GDP),0.66036
Monaco,MCO,Research and development expenditure (% of GDP),0.03821
Moldova,MDA,Research and development expenditure (% of GDP),0.21589
Madagascar,MDG,Research and development expenditure (% of GDP),0.01275
Maldives,MDV,Research and development expenditure (% of GDP),
"Middle East, North Africa, Afghanistan & Pakistan",MEA,Research and development expenditure (% of GDP),1.32901982491162
Mexico,MEX,Research and development expenditure (% of GDP),0.25372
Marshall Islands,MHL,Research and development expenditure (% of GDP),
Middle income,MIC,Research and development expenditure (% of GDP),1.9525754024907
North Macedonia,MKD,Research and development expenditure (% of GDP),0.37363
Mali,MLI,Research and development expenditure (% of GDP),0.14743
Malta,MLT,Research and development expenditure (% of GDP),0.64792
Myanmar,MMR,Research and development expenditure (% of GDP),0.02307
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",MNA,Research and development expenditure (% of GDP),0.538755837378145
Montenegro,MNE,Research and development expenditure (% of GDP),0.36328
Mongolia,MNG,Research and development expenditure (% of GDP),0.08365
Northern Mariana Islands,MNP,Research and development expenditure (% of GDP),
Mozambique,MOZ,Research and development expenditure (% of GDP),0.30814
Mauritania,MRT,Research and development expenditure (% of GDP),0.01019
Mauritius,MUS,Research and development expenditure (% of GDP),0.26181
Malawi,MWI,Research and development expenditure (% of GDP),0.17752
Malaysia,MYS,Research and development expenditure (% of GDP),1.0121
North America,NAC,Research and development expenditure (% of GDP),3.32644050404442
Namibia,NAM,Research and development expenditure (% of GDP),0.64636
New Caledonia,NCL,Research and development expenditure (% of GDP),
Niger,NER,Research and development expenditure (% of GDP),
Nigeria,NGA,Research and development expenditure (% of GDP),0.28444
Nicaragua,NIC,Research and development expenditure (% of GDP),0.10742
Netherlands,NLD,Research and development expenditure (% of GDP),2.26719
Norway,NOR,Research and development expenditure (% of GDP),1.85142
Nepal,NPL,Research and development expenditure (% of GDP),0.30221
Nauru,NRU,Research and development expenditure (% of GDP),
New Zealand,NZL,Research and development expenditure (% of GDP),1.54848
OECD members,OED,Research and development expenditure (% of GDP),2.92916270172344
Oman,OMN,Research and development expenditure (% of GDP),0.38979
Other small states,OSS,Research and development expenditure (% of GDP),1.36645544626259
Pakistan,PAK,Research and development expenditure (% of GDP),0.16399
Panama,PAN,Research and development expenditure (% of GDP),0.19708
Peru,PER,Research and development expenditure (% of GDP),0.17611
Philippines,PHL,Research and development expenditure (% of GDP),0.27625
Palau,PLW,Research and development expenditure (% of GDP),
Papua New Guinea,PNG,Research and development expenditure (% of GDP),0.03158
Poland,POL,Research and development expenditure (% of GDP),1.55525
Pre-demographic dividend,PRE,Research and development expenditure (% of GDP),
Puerto Rico (US),PRI,Research and development expenditure (% of GDP),0.42882
"Korea, Dem. People's Rep.",PRK,Research and development expenditure (% of GDP),
Portugal,PRT,Research and development expenditure (% of GDP),1.69491
Paraguay,PRY,Research and development expenditure (% of GDP),0.14117
West Bank and Gaza,PSE,Research and development expenditure (% of GDP),0.45434
Pacific island small states,PSS,Research and development expenditure (% of GDP),
Post-demographic dividend,PST,Research and development expenditure (% of GDP),3.02091743107871
French Polynesia,PYF,Research and development expenditure (% of GDP),
Qatar,QAT,Research and development expenditure (% of GDP),0.68058
Romania,ROU,Research and development expenditure (% of GDP),0.51656
Russian Federation,RUS,Research and development expenditure (% of GDP),0.93706
Rwanda,RWA,Research and development expenditure (% of GDP),0.78149
South Asia,SAS,Research and development expenditure (% of GDP),0.629398082132028
Saudi Arabia,SAU,Research and development expenditure (% of GDP),0.63522
Sudan,SDN,Research and development expenditure (% of GDP),0.225
Senegal,SEN,Research and development expenditure (% of GDP),0.5772
Singapore,SGP,Research and development expenditure (% of GDP),1.80821
Solomon Islands,SLB,Research and development expenditure (% of GDP),
Sierra Leone,SLE,Research and development expenditure (% of GDP),
El Salvador,SLV,Research and development expenditure (% of GDP),0.10152
San Marino,SMR,Research and development expenditure (% of GDP),
"Somalia, Fed. Rep.",SOM,Research and development expenditure (% of GDP),
Serbia,SRB,Research and development expenditure (% of GDP),0.93978
Sub-Saharan Africa (excluding high income),SSA,Research and development expenditure (% of GDP),0.449511761428983
South Sudan,SSD,Research and development expenditure (% of GDP),
Sub-Saharan Africa,SSF,Research and development expenditure (% of GDP),0.442468713514622
Small states,SST,Research and development expenditure (% of GDP),0.853701922172335
Sao Tome and Principe,STP,Research and development expenditure (% of GDP),
Suriname,SUR,Research and development expenditure (% of GDP),
Slovak Republic,SVK,Research and development expenditure (% of GDP),1.03359
Slovenia,SVN,Research and development expenditure (% of GDP),2.13385
Sweden,SWE,Research and development expenditure (% of GDP),3.59978
Eswatini,SWZ,Research and development expenditure (% of GDP),0.27807
Sint Maarten (Dutch part),SXM,Research and development expenditure (% of GDP),
Seychelles,SYC,Research and development expenditure (% of GDP),0.2017
Syrian Arab Republic,SYR,Research and development expenditure (% of GDP),0.04217
Turks and Caicos Islands,TCA,Research and development expenditure (% of GDP),
Chad,TCD,Research and development expenditure (% of GDP),0.23294
East Asia & Pacific (IDA & IBRD countries),TEA,Research and development expenditure (% of GDP),2.47590303547195
Europe & Central Asia (IDA & IBRD countries),TEC,Research and development expenditure (% of GDP),0.992713392569438
Togo,TGO,Research and development expenditure (% of GDP),0.22229
Thailand,THA,Research and development expenditure (% of GDP),0.93628
Tajikistan,TJK,Research and development expenditure (% of GDP),0.08969
Turkmenistan,TKM,Research and development expenditure (% of GDP),0.09
Latin America & the Caribbean (IDA & IBRD countries),TLA,Research and development expenditure (% of GDP),0.682501882174588
Timor-Leste,TLS,Research and development expenditure (% of GDP),
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",TMN,Research and development expenditure (% of GDP),0.538755837378145
Tonga,TON,Research and development expenditure (% of GDP),
South Asia (IDA & IBRD),TSA,Research and development expenditure (% of GDP),0.629398082132028
Sub-Saharan Africa (IDA & IBRD countries),TSS,Research and development expenditure (% of GDP),0.442468713514622
Trinidad and Tobago,TTO,Research and development expenditure (% of GDP),0.05039
Tunisia,TUN,Research and development expenditure (% of GDP),0.74658
Turkiye,TUR,Research and development expenditure (% of GDP),1.42224
Tuvalu,TUV,Research and development expenditure (% of GDP),
Tanzania,TZA,Research and development expenditure (% of GDP),0.51456
Uganda,UGA,Research and development expenditure (% of GDP),0.4383
Ukraine,UKR,Research and development expenditure (% of GDP),0.36988
Upper middle income,UMC,Research and development expenditure (% of GDP),2.03350874454129
Uruguay,URY,Research and development expenditure (% of GDP),0.70196
United States,USA,Research and development expenditure (% of GDP),3.44716
Uzbekistan,UZB,Research and development expenditure (% of GDP),0.10416
St. Vincent and the Grenadines,VCT,Research and development expenditure (% of GDP),0.1139
"Venezuela, RB",VEN,Research and development expenditure (% of GDP),0.33713
British Virgin Islands,VGB,Research and development expenditure (% of GDP),
Virgin Islands (U.S.),VIR,Research and development expenditure (% of GDP),0.02717
Viet Nam,VNM,Research and development expenditure (% of GDP),0.41456
Vanuatu,VUT,Research and development expenditure (% of GDP),
World,WLD,Research and development expenditure (% of GDP),2.59056888571504
Samoa,WSM,Research and development expenditure (% of GDP),
Kosovo,XKX,Research and development expenditure (% of GDP),
"Yemen, Rep.",YEM,Research and development expenditure (% of GDP),
South Africa,ZAF,Research and development expenditure (% of GDP),0.61479
Zambia,ZMB,Research and development expenditure (% of GDP),0.27819
Zimbabwe,ZWE,Research and development expenditure (% of GDP),
